NAME,PUNTO GPS
OLLA POPULAR MBOCAYATY,"https://www.google.com/maps/place/25%C2%B015'46.6%22S+57%C2%B035'57.3%22W/@-25.2629351,-57.6014487,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26294!4d-57.59926?hl=es"
OLLA POPULAR KUÑA MBARETE,"https://www.google.com/maps/place/25%C2%B015'47.8%22S+57%C2%B035'58.1%22W/@-25.2632751,-57.6016587,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26328!4d-57.59947?hl=es"
OLLA POPULAR SANDER,"https://www.google.com/maps/place/25%C2%B015'50.0%22S+57%C2%B036'01.9%22W/@-25.2638851,-57.6027287,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26389!4d-57.60054?hl=es"
OLLA POPULAR MITÃ RÓGA,"https://www.google.com/maps/place/25%C2%B015'42.4%22S+57%C2%B035'58.6%22W/@-25.2617751,-57.6017987,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26178!4d-57.59961?hl=es"
OLLA POPULAR LAGUNA PYTÃ,"https://www.google.com/maps/place/25%C2%B015'41.5%22S+57%C2%B035'54.9%22W/@-25.2615151,-57.6007587,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26152!4d-57.59857?hl=es"
OLLA POPULAR SAN FRANCISCO,"https://www.google.com/maps/place/25%C2%B015'56.4%22S+57%C2%B036'12.5%22W/@-25.2656651,-57.6056687,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26567!4d-57.60348?hl=es"
OLLA POPULAR SAN AGUSTIN,"https://www.google.com/maps/place/25%C2%B016'07.6%22S+57%C2%B036'23.7%22W/@-25.2687793,-57.6087642,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2687793!4d-57.6065755?hl=es"
OLLA POPULAR SAN MIGUEL GUERRERO I,"https://www.google.com/maps/place/25%C2%B015'53.3%22S+57%C2%B038'03.3%22W/@-25.2647938,-57.6364357,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2647938!4d-57.634247?hl=es"
OLLA POPULAR SAN MIGUEL GUERRERO II,"https://www.google.com/maps/place/25%C2%B015'42.1%22S+57%C2%B037'57.2%22W/@-25.2616891,-57.6347451,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2616891!4d-57.6325564?hl=es"
OLLA POPULAR SAN MIGUEL GUERRERO III,"https://www.google.com/maps/place/25%C2%B015'43.2%22S+57%C2%B038'01.1%22W/@-25.2620079,-57.6358151,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2620079!4d-57.6336264?hl=es"
OLLA POPULAR COMISION VECINAL CAACUPEMI,"https://www.google.com/maps/place/25%C2%B015'30.6%22S+57%C2%B036'39.2%22W/@-25.2584873,-57.6130742,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2584873!4d-57.6108855?hl=es"
OLLA POPULAR ESCUELA BÁSICA 6038 PRIV.SUBV.CAACUPEMI DE FE Y ALEGRIA. TAMBIEN ENTREGAN KIT DE ALIMENTOS,"https://www.google.com/maps/place/25%C2%B015'23.2%22S+57%C2%B036'45.3%22W/@-25.2566626,-57.6126649,18.25z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2564536!4d-57.6125798?hl=es"
OLLA POPULAR CAACUPEMI II,"https://www.google.com/maps/place/25%C2%B015'38.5%22S+57%C2%B036'33.6%22W/@-25.2611664,-57.6134264,16.25z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2607!4d-57.6093339?hl=es"
OLLA POPULAR ASOCIACION DE RECICLADORES,"https://www.google.com/maps/place/25%C2%B015'54.2%22S+57%C2%B036'25.4%22W/@-25.265041,-57.6092408,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.265041!4d-57.6070521?hl=es"
OLLA POPULAR JESUS MISERICORDIOSO,"https://www.google.com/maps/place/25%C2%B015'56.7%22S+57%C2%B036'20.9%22W/@-25.265749,-57.6079903,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.265749!4d-57.6058016?hl=es"
OLLA POPULAR JAGUATA OLLA,"https://www.google.com/maps/place/25%C2%B015'58.7%22S+57%C2%B036'22.7%22W/@-25.2663335,-57.6087696,16.75z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2662942!4d-57.6063099?hl=es"
OLLA POPULAR LA ESPERANZA,"https://www.google.com/maps/place/25%C2%B015'59.2%22S+57%C2%B036'18.0%22W/@-25.2662808,-57.6076744,16.75z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2664427!4d-57.6050066?hl=es"
OLLA POPULAR COMISION VECINAL SANTA CRUZ,"https://www.google.com/maps/place/25%C2%B016'01.9%22S+57%C2%B036'15.9%22W/@-25.2671816,-57.6066146,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2671816!4d-57.604428?hl=es"
OLLA POPULAR CAPILLA SANTA CRUZ,"https://www.google.com.py/maps/place/Capilla+Santa+Cruz/@-25.2677472,-57.6058272,17z/data=!4m5!3m4!1s0x945da7565b307f33:0xa3e4aaaf8899011b!8m2!3d-25.2677521!4d-57.6036385?hl=es"
OLLA POPULAR COMISION VECINAL SAN JUAN,"https://www.google.com/maps/search/Cancha+San+Juan/@-25.2667362,-57.6033285,18z?hl=es"
OLLA POPULAR COMISION VECINAL FE Y ALEGRIA,"https://www.google.com/maps/place/25%C2%B015'40.9%22S+57%C2%B035'37.2%22W/@-25.2613469,-57.5958638,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2613469!4d-57.5936751?hl=es"
OLLA POPULAR COMISION VECINAL SANTA LUCIA,"https://www.google.com/maps/place/25%C2%B015'26.8%22S+57%C2%B035'44.0%22W/@-25.25744,-57.5977551,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.25744!4d-57.5955664?hl=es"
OLLA POPULAR COMISION VECINAL CADETE INSFRAN,"https://www.google.com/maps/place/25%C2%B015'27.6%22S+57%C2%B035'45.8%22W/@-25.2576771,-57.5982505,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2576771!4d-57.5960618?hl=es"
OLLA POPULAR COMISION VECINAL ESPIRITU SANTO,"https://www.google.com/maps/place/25%C2%B015'20.1%22S+57%C2%B035'51.5%22W/@-25.2555707,-57.5998298,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2555707!4d-57.5976411?hl=es"
ESCUELA N°6039 PRIV. SUB SANTA CRUZ - ENTREGAN KITS DE ALIMENTOS CADA 10 O 15 DIAS,"https://www.google.com/maps/place/Escuela+Basica+6039+Santa+Cruz+de+Fe+y+Alegr%C3%ADa/@-25.2684776,-57.6054564,17z/data=!3m1!4b1!4m5!3m4!1s0x945da7033cad92df:0x3070a9bc8c281819!8m2!3d-25.2684825!4d-57.6032677"
OLLA POPULAR COMISION VECINAL SAN VICENTE,"https://www.google.com/maps/place/25%C2%B015'15.2%22S+57%C2%B035'53.4%22W/@-25.2542265,-57.6003514,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2542265!4d-57.5981627?hl=es"
OLLA POPULAR COMISION VECINAL SAN MIGUEL I,"https://www.google.com/maps/place/25%C2%B015'26.7%22S+57%C2%B035'58.0%22W/@-25.2574096,-57.601639,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2574096!4d-57.5994503?hl=es"
OLLA POPULAR COMISION VECINAL LA ESPERANZA,"https://www.google.com/maps/place/25%C2%B015'21.3%22S+57%C2%B036'02.1%22W/@-25.2559141,-57.6027651,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2559141!4d-57.6005764?hl=es"
OLLA POPULAR COMISION VECINAL SAN RAFAEL,"https://www.google.com/maps/place/25%C2%B015'29.3%22S+57%C2%B035'55.2%22W/@-25.2581334,-57.6008441,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2581334!4d-57.5986554?hl=es"
OLLA POPULAR COMISION VECINAL SAN PEDRO II,"https://www.google.com/maps/place/25%C2%B014'59.3%22S+57%C2%B036'01.9%22W/@-25.2498033,-57.6027174,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2498033!4d-57.6005287?hl=es"
OLLA POPULAR COMISION VECINAL YVERA,"https://www.google.com/maps/place/25%C2%B015'07.3%22S+57%C2%B036'04.4%22W/@-25.2520329,-57.6033964,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2520329!4d-57.6012077?hl=es"
OLLA POPULAR COMISION VECINAL LAS MERCEDES,"https://www.google.com/maps/place/25%C2%B015'25.7%22S+57%C2%B035'51.3%22W/@-25.2571502,-57.5997782,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2571502!4d-57.5975895?hl=es"
OLLA POPULAR COMISION VECINAL SAN MIGUEL II,"https://www.google.com/maps/place/25%C2%B015'27.0%22S+57%C2%B035'55.6%22W/@-25.2575112,-57.6009746,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2575112!4d-57.5987859?hl=es"
OLLA POPULAR IGLESIA SAGRADA FAMILIA,"https://www.google.com/maps/search/Iglesia+Sagrada+Familia/@-25.2622175,-57.5949177,17z?hl=es"
OLLA POPULAR ÑA VIRINA,"https://www.google.com/maps/place/25%C2%B014'06.7%22S+57%C2%B033'18.4%22W/@-25.2351865,-57.5573029,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2351865!4d-57.5551142?hl=es"
OLLA POPULAR COMISION VECINAL LA UNION,"https://www.google.com/maps/place/25%C2%B013'44.6%22S+57%C2%B033'32.0%22W/@-25.231396,-57.5648698,15.5z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2290625!4d-57.5588754?hl=es"
OLLA POPULAR CAPILLA INMACULADA,"https://www.google.com/maps/place/25%C2%B013'51.7%22S+57%C2%B033'28.9%22W/@-25.2310216,-57.5602044,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2310216!4d-57.5580157?hl=es"
OLLA POPULAR PECECITO,"https://www.google.com/maps/place/25%C2%B013'48.7%22S+57%C2%B034'34.2%22W/@-25.2301855,-57.5783569,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2301855!4d-57.5761682?hl=es"
OLLA POPULAR RC4 - INDIGENA,"https://www.google.com/maps/place/25%C2%B014'16.5%22S+57%C2%B033'04.3%22W/@-25.2379281,-57.5533825,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2379281!4d-57.5511938?hl=es"
OLLA POPULAR CAPILLA SAN PEDRO,"https://www.google.com/maps/place/25%C2%B014'18.6%22S+57%C2%B033'15.0%22W/@-25.2384946,-57.5563664,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2384946!4d-57.5541777?hl=es"
OLLA POPULAR  COMISION VECINAL SAN FRANCISCO,"https://www.google.com/maps/place/Estadio+Gregorio+Sarubbi+Ortiz/@-25.2322222,-57.5752778,17z/data=!4m5!3m4!1s0x945da6f2acb983b1:0x3dfa33dce0960639!8m2!3d-25.2325432!4d-57.5759805?hl=es"
OLLA POPULAR LAS DOÑAS,"https://www.google.com/maps/place/Comedor+Las+Do%C3%B1as/@-25.2301918,-57.5766256,17z/data=!4m5!3m4!1s0x945da721ae4c5e63:0xff77dbd68d942dc2!8m2!3d-25.2301048!4d-57.5766819?hl=es"
OLLA POPULAR CAPILLA MEDALLA MILAGROSA,"https://www.google.com/maps/place/25%C2%B013'55.5%22S+57%C2%B033'47.0%22W/@-25.23207,-57.5652454,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.23207!4d-57.5630567?hl=es"
OLLA POPULAR CAPILLA SAN FRANCISCO,"https://www.google.com/maps/place/25%C2%B013'56.0%22S+57%C2%B034'23.9%22W/@-25.2322238,-57.5754969,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2322238!4d-57.5733082?hl=es"
OLLA POPULAR CV VY'A RENDA,"https://www.google.com/maps/place/25%C2%B015'16.3%22S+57%C2%B035'43.6%22W/@-25.2545383,-57.5976354,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2545383!4d-57.5954467?hl=es"
OLLA POPULAR SAN MIGUEL,"https://www.google.com/maps/place/25%C2%B015'15.6%22S+57%C2%B035'43.0%22W/@-25.2541587,-57.5951736,18.25z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2543283!4d-57.59527?hl=es"
OLLA POPULAR LA DELICIA,"https://www.google.com/maps/place/25%C2%B015'12.1%22S+57%C2%B035'39.8%22W/@-25.2529138,-57.5967463,17.92z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2533465!4d-57.594381?hl=es"
OLLA POPULAR  CHIQUITUNGA,"https://www.google.com/maps/place/25%C2%B015'16.2%22S+57%C2%B035'37.2%22W/@-25.2545041,-57.5958567,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2545041!4d-57.593668?hl=es"
OLLA POPULAR SAN BLAS,"https://www.google.com/maps/place/25%C2%B014'28.6%22S+57%C2%B034'55.6%22W/@-25.2412831,-57.5842991,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2412831!4d-57.5821104?hl=es"
OLLA POPULAR SAN ISIDRO,"https://www.google.com/maps/place/25%C2%B014'24.7%22S+57%C2%B035'00.5%22W/@-25.240192,-57.58566,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.240192!4d-57.5834713?hl=es"
OLLA POPULAR COMISION VECINAL SAGRADA FAMILIA,"https://www.google.com/maps/place/25%C2%B014'28.7%22S+57%C2%B035'06.1%22W/@-25.2413053,-57.5872213,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2413053!4d-57.5850326?hl=es"
OLLA POPULAR COMISION VECINAL SAN ANTONIO,"https://www.google.com/maps/place/25%C2%B015'06.4%22S+57%C2%B035'46.7%22W/@-25.2518512,-57.5969577,18.75z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2517694!4d-57.5962993?hl=es"
OLLA POPULAR HETEREI,"https://www.google.com/maps/place/25%C2%B015'06.0%22S+57%C2%B035'45.3%22W/@-25.2516527,-57.5980908,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2516527!4d-57.5959021?hl=es"
OLLA POPULAR COCINA POPULAR,"https://www.google.com/maps/place/25%C2%B015'18.5%22S+57%C2%B035'46.9%22W/@-25.2551389,-57.5985465,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2551389!4d-57.5963578?hl=es"
OLLA POPULAR KUÑA MBARETE (1),"https://www.google.com/maps/place/25%C2%B015'15.8%22S+57%C2%B035'42.0%22W/@-25.2543766,-57.5971981,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2543766!4d-57.5950094?hl=es"
OLLA POPULAR KUÑA MBARETE (2),"https://www.google.com/maps/place/25%C2%B015'19.3%22S+57%C2%B035'39.0%22W/@-25.2553719,-57.5963598,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2553719!4d-57.5941711?hl=es"
OLLA POPULAR VIRGEN DE FATIMA (1),"https://www.google.com/maps/place/25%C2%B015'20.9%22S+57%C2%B035'32.4%22W/@-25.2558017,-57.594517,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2558017!4d-57.5923283?hl=es"
OLLA POPULAR VIRGEN DE FATIMA II,"https://www.google.com/maps/place/25%C2%B015'18.4%22S+57%C2%B035'27.3%22W/@-25.2551047,-57.5931135,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2551047!4d-57.5909248?hl=es"
OLLA POPULAR CM MARIA AUXILIADORA,"https://www.google.com/maps/place/25%C2%B014'59.0%22S+57%C2%B034'56.7%22W/@-25.2497219,-57.5845986,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2497219!4d-57.5824099?hl=es"
OLLA POPULAR SANTA LUCIA ,"https://www.google.com/maps/place/25%C2%B014'28.1%22S+57%C2%B035'06.0%22W/@-25.2414816,-57.5892792,16.25z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2411475!4d-57.5849985?hl=es"
OLLA POPULAR SAN LORENZO,"https://www.google.com/maps/place/25%C2%B014'31.4%22S+57%C2%B034'49.2%22W/@-25.2420664,-57.5825132,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2420664!4d-57.5803245?hl=es"
ESCUELA MUNICIPAL MARANGATU RAPE-ENTREGAN KITS DE ALIMENTOS CADA 12 O 15 DIAS,"https://www.google.com/maps/place/Escuela+Municipal+Marangatu+Rape/@-25.2399065,-57.5810002,17z/data=!4m5!3m4!1s0x945da6f418fe4023:0x2dfd3ff6556b10ad!8m2!3d-25.2398234!4d-57.5810747?hl=es"
OLLA POPULAR SAN MIGUEL,"https://www.google.com/maps/place/25%C2%B014'40.7%22S+57%C2%B034'56.8%22W/@-25.2446256,-57.5846366,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2446256!4d-57.5824479?hl=es"
OLLA POPULAR GUARDERIA CENINFA,"https://www.google.com/maps/place/25%C2%B014'43.8%22S+57%C2%B035'03.3%22W/@-25.2455007,-57.5864393,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2455007!4d-57.5842506?hl=es"
OLLA POPULAR SAN ANTONIO (1),"https://www.google.com/maps/place/25%C2%B014'47.0%22S+57%C2%B035'04.9%22W/@-25.2463999,-57.5868902,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2463999!4d-57.5847015?hl=es"
