"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description","Título de la necesidad",Descripción,"¿Dónde están las personas en necesidad?.lat","¿Dónde están las personas en necesidad?.lon","Dirección o referencias","Tareas realizadas y pendientes sobre este posteo","Identificador Externo","Notas de Importación","Título de la iniciativa","Descripción detallada","Ubicación aproximada (si aplica).lat","Ubicación aproximada (si aplica).lon","Dirección o referencias","¿Es un ofrecimiento individual o de grupo?","Tareas realizadas y pendientes sobre este posteo","Identificador Externo","Notas de Importación","Título del producto o servicio","Descripción del producto o servicio","Clasificación del Producto o Servicio","Nombre de Fantasía/Marca","Razón Social de la Iniciativa","Tareas realizadas y pendientes sobre este posteo","Identificador Externo","Notas de Importación",Institución,"Título de la Iniciativa",Imagen,Descripción,"Ubicación aproximada.lat","Ubicación aproximada.lon","Categorías relacionadas","Teléfono de contacto",Email,Link,"Tareas realizadas y pendientes sobre este posteo","Identificador Externo","Notas de Importación","Titulo de la necesidad",Descripción,"Teléfono de contacto","Correo electrónico de contacto","Ubicación aproximada.lat","Ubicación aproximada.lon",Dirección,"Categorías relacionadas:","Tareas realizadas y pendientes sobre este posteo","Identificador Externo","Notas de Importación",Título,Descripción,"Organización y/o persona que reporta","Teléfono de contacto","Email de Contacto","Página web y/o link a las redes sociales",Dirección,Ubicación.lat,Ubicación.lon,Imagen,"Tareas realizadas y pendientes sobre este posteo","Identificador Externo","Notas de Importación","Categorías relacionadas","¿La necesidad es de quién reporta o de un tercero?","¿Es una necesidad colectiva o individual?","Nombre y apellidos (de quien reporta)","Contacto (de quien reporta)",Foto,Video,"Estado del pedido. ¿Se ha ya resuelto?",Fuente,"Link a la fuente","¿Existe algún otro punto en el mapa que se relacione a este?","Acuerdo de consentimiento","Categorías relacionadas",Sector,"Foto / Volante","Video (opcional)","(Oferente) Nombre de la organización o persona referente","(Oferente) Email","(Oferente) Teléfono","(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes","(Oferente) Información adicional de la organización o áreas en las que requiere apoyo",Fuente,"Link a la fuente","Conexiones o colaboraciones","Acuerdo de consentimiento","Inicio de vigencia de la iniciativa","Fin de vigencia de la iniciativa","ODS Relacionados","Persona de contacto","Telefono de contacto","Correo electrónico","Web y Redes Sociales","Flyer o Imagen (opcional)","Ubicación aproximada.lat","Ubicación aproximada.lon","Dirección o referencias","Categorías relacionadas","Medidas de protección contra el Covid19","¿A qué otros puntos del mapa podríamos conectar este producto o servicio?",Fuente,"Link a la fuente","Acuerdo de consentimiento","Inicio de vigencia de la iniciativa","Fin de vigencia de la iniciativa","ODS Relacionados","Persona a cargo","Acuerdo de Consentimiento","Inicio de vigencia de la iniciativa","Fin de vigencia de la iniciativa","ODS Relacionados","¿Está la necesidad resuelta?","Nombre de la persona o institución que reporta","Link o información adicional","Acuerdo de Consentimiento",Video,"Categorías relacionadas","Acuerdo de consentimiento","Inicio de vigencia de la iniciativa","Fin de vigencia de la iniciativa","ODS Relacionados"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:50","2020-07-30 16:09:31","2020-07-28 00:06:50",,,,,,,,,,,,,,"RED - TECHO -  El Portal","Puntos de higiene:1 - Alcance: 1208 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.43375,-57.435086,"JA Saldivar El Portal El Portal","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-31,2020-07-31,"ODS 1: Fin de la pobreza,ODS 17: Alianzas para lograr los objetivos,ODS 3: Salud y bienestar,ODS 10: Redución de las desigualdades,ODS 2: Hambre cero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:49","2020-08-03 18:12:17","2020-07-28 00:06:49",,,,,,,,,,,,,,"RED - TECHO -  Nuevo Amanecer","Puntos de higiene:2 - Alcance: 696 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.187334,-57.441799,"Limpio Nuevo Amanecer Nuevo Amanecer","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-31,2020-07-31,"ODS 1: Fin de la pobreza,ODS 17: Alianzas para lograr los objetivos,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 2: Hambre cero,ODS 3: Salud y bienestar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:48","2020-07-30 16:12:12","2020-07-28 00:06:48",,,,,,,,,,,,,,"RED - TECHO -  Asentamientos Rivereños San Rafael","Puntos de higiene:1 - Alcance: 372 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.184175,-57.542903,"MRA Asentamientos Rivereños San Rafael Asentamientos Rivereños San Rafael","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-31,2020-07-31,"ODS 1: Fin de la pobreza,ODS 3: Salud y bienestar,ODS 10: Redución de las desigualdades,ODS 17: Alianzas para lograr los objetivos,ODS 11: Ciudades y comunidades sostenibles,ODS 2: Hambre cero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2348,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:48","2020-07-30 16:42:50","2020-07-28 00:06:48",,,,,,,,,,,,,,"RED - TECHO -  Unidos 2","Puntos de higiene:1 - Alcance: 544 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.182102,-57.536799,"MRA Unidos 2 Unidos 2","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-31,2020-07-31,"ODS 1: Fin de la pobreza,ODS 3: Salud y bienestar,ODS 17: Alianzas para lograr los objetivos,ODS 11: Ciudades y comunidades sostenibles,ODS 10: Redución de las desigualdades,ODS 2: Hambre cero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2346,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:47","2020-07-30 16:59:18","2020-07-28 00:06:47",,,,,,,,,,,,,,"RED - TECHO -  24 de Agosto","Puntos de higiene:3 - Alcance: 1880 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.507667,-57.517272,"VILLETA 24 de Agosto 24 de Agosto","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-31,2020-07-31,"ODS 17: Alianzas para lograr los objetivos,ODS 3: Salud y bienestar,ODS 1: Fin de la pobreza,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 2: Hambre cero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:46","2020-07-30 17:10:04","2020-07-28 00:06:46",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR 4C","Puntos de higiene:1 - Alcance: 148 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.218135,-57.475137,"LUQUE Itapuami 4C","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-30,2020-07-30,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 11: Ciudades y comunidades sostenibles,ODS 10: Redución de las desigualdades,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:46","2020-07-30 18:17:45","2020-07-28 00:06:46",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR SOL NACIENTE","Puntos de higiene:2 - Alcance: 400 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.533688,-57.549199,"VILLETA SOL NACIENTE SOL NACIENTE","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-30,2020-07-30,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:45","2020-07-30 18:20:38","2020-07-28 00:06:45",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR Territorio social Nueva Esperanza","Puntos de higiene:1 - Alcance: 128 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.25575,-57.484072,"Luque Territorio social Nueva Esperanza Territorio social Nueva Esperanza","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-30,2020-07-30,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:44","2020-07-30 18:21:35","2020-07-28 00:06:44",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR SAN PEDRO II","Puntos de higiene:3 - Alcance: 560 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.248964,-57.557351,"LUQUE Ykua karanda´y SAN PEDRO II","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-30,2020-07-30,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 11: Ciudades y comunidades sostenibles,ODS 10: Redución de las desigualdades,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2342,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:44","2020-07-30 18:22:56","2020-07-28 00:06:44",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR 16 de Julio","Puntos de higiene:4 - Alcance: 800 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.217131,-57.4917,"LUQUE Ykua karanda´y 16 de Julio","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-30,2020-07-30,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2339,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:43","2020-08-03 18:17:36","2020-07-28 00:06:43",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR San Blas","Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.261306,-57.477974,"LUQUE Yka´a San Blas","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-08-03,2020-08-03,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2340,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:43","2020-07-31 15:54:09","2020-07-28 00:06:43",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR PAZ DEL CHACO","Puntos de higiene:4 - Alcance: 944 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.25854,-57.539974,"LUQUE Yka´a PAZ DEL CHACO","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-08-01,2020-08-01,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos,ODS 10: Redución de las desigualdades",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:42","2020-08-03 18:18:14","2020-07-28 00:06:42",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR 1RO DE JULIO","Puntos de higiene:4 - Alcance: 1600 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.237861,-57.436966,"LUQUE Tarumandy 1RO DE JULIO","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-31,2020-07-31,"ODS 1: Fin de la pobreza,ODS 3: Salud y bienestar,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos,ODS 2: Hambre cero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2336,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:41","2020-07-31 15:55:40","2020-07-28 00:06:41",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR TARUMA POTY","Puntos de higiene:3 - Alcance: 600 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.22006,-57.420329,"LUQUE Tarumandy TARUMA POTY","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-31,2020-07-31,"ODS 3: Salud y bienestar,ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:41","2020-07-31 15:56:14","2020-07-28 00:06:41",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR 8de Diciembre/Nueva Asuncion","Puntos de higiene:3 - Alcance: 720 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.229207,-57.396525,"LUQUE Tarumandy 8de Diciembre/Nueva Asuncion","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-07-31,2020-07-31,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:40","2020-07-28 00:10:08","2020-07-28 00:06:40",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR INDEPENDENCIA II","Puntos de higiene:2 - Alcance: 520 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.236,-57.420367,"LUQUE Tarumandy INDEPENDENCIA II","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,,,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2333,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:39","2020-08-03 18:20:49","2020-07-28 00:06:39",,,,,,,,,,,,,,"RED - TECHO -  TARUMANDY-MI","Puntos de higiene:1 - Alcance: 140 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.218083,-57.416883,"LUQUE Tarumandy TARUMANDY-MI","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-08-03,2020-08-03,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 17: Alianzas para lograr los objetivos,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2334,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:39","2020-08-03 18:21:57","2020-07-28 00:06:39",,,,,,,,,,,,,,"RED - TECHO -  INDEPENDENCIA 1","Puntos de higiene:1 - Alcance: 284 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.233367,-57.490186,"LUQUE Tarumandy INDEPENDENCIA 1","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-08-03,2020-08-03,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:38","2020-08-03 18:22:33","2020-07-28 00:06:38",,,,,,,,,,,,,,"RED - TECHO - OLLA POPULAR Cerro Cora","Puntos de higiene:4 - Alcance: 816 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.226639,-57.473717,"LUQUE Mora Cue Cerro Cora","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-08-03,2020-08-03,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2332,"Ofrecimientos de ayuda y otras iniciativas ciudadanas",published,"2020-07-28 00:06:38","2020-08-03 18:23:28","2020-07-28 00:06:38",,,,,,,,,,,,,,"RED - TECHO -  Yva Povondy","Puntos de higiene:1 - Alcance: 72 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.",-25.208383,-57.419952,"LUQUE Tarumandy Yva Povondy","Somos una organizacion o colectivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salud / Higiene","Sociedad Civil",,,,,981256677,,,"Reporte ciudadano",,,"Estoy de acuerdo en que sea publica la informacion proporcionada en el presente formulario",2020-08-03,2020-08-03,"ODS 1: Fin de la pobreza,ODS 2: Hambre cero,ODS 3: Salud y bienestar,ODS 10: Redución de las desigualdades,ODS 11: Ciudades y comunidades sostenibles,ODS 17: Alianzas para lograr los objetivos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
