Post ID,Survey,Post Status,Created (UTC),Updated (UTC),Post Date (UTC),Contact ID,Contact,Data Source ID,Source,Unstructured Description,T铆tulo de la iniciativa,Descripci贸n detallada,Ubicaci贸n aproximada (si aplica).lat,Ubicaci贸n aproximada (si aplica).lon,Direcci贸n o referencias,驴Es un ofrecimiento individual o de grupo?,Tareas realizadas y pendientes sobre este posteo,,Sector,Foto / Volante,Video (opcional),(Oferente) Nombre de la organizaci贸n o persona referente,(Oferente) Email,(Oferente) Tel茅fono,"(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes",(Oferente) Informaci贸n adicional de la organizaci贸n o 谩reas en las que requiere apoyo,Fuente,Link a la fuente,Conexiones o colaboraciones,Acuerdo de consentimiento,Inicio de vigencia de la iniciativa,Fin de vigencia de la iniciativa,ODS Relacionados
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.215851,-57.462936,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 711,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 280 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.158121,-57.49284,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 712,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 236 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.160199,-57.495267,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 713,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 152 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.193228,-57.455895,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 714,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 140 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.1681652,-57.4563754,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 715,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 160 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.170567,-57.460976,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 716,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 548 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.124894,-57.468685,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 717,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 276 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.1702627,-57.4615545,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 718,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:4 - Alcance: 1000 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.172016,-57.45831,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 719,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 592 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.12725,-57.466333,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 720,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:4 - Alcance: 800 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.130295,-57.458978,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 721,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 288 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.126632,-57.458436,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 722,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 600 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.1430278,-57.5053554,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 723,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 600 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.1651234,-57.4911999,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 724,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.204944,-57.479361,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 725,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 400 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.2055,-57.475028,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 726,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 592 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.204667,-57.476694,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 727,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 320 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.164487,-57.496014,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 728,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 232 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.162292,-57.494917,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 729,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 236 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.202413,-57.4825877,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 730,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 60 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.176102,-57.457123,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 731,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 340 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.178421,-57.4602881,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 732,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 268 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.1769371,-57.4597464,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 733,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 184 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.1143528,-57.4775839,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 734,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 616 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.134111,-57.473667,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 735,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 68 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.1270617,-57.4603182,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 736,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 548 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.124778,-57.467694,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 737,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 332 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.1567879,-57.4540738,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 738,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 760 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.1567879,-57.4540738,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 739,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:4 - Alcance: 936 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.167398,-57.452697,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 740,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 160 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.2641423,-57.4514295,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 741,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 212 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.274861,-57.431806,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 742,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 588 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.304889,-57.473722,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 743,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 760 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.3097675,-57.4713059,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 744,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 88 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboracin y articulacin entre las organizaciones.,-25.2893056,-57.451022,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogestin comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 745,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
